,regiao,estado,municipio,coduf,codmun,codRegiaoSaude,nomeRegiaoSaude,data,semanaEpi,populacaoTCU2019,casosAcumulado,casosNovos,obitosAcumulado,obitosNovos,Recuperadosnovos,emAcompanhamentoNovos,interior/metropolitana
37,Brasil,,,76,,,,2023-02-07,6,210147125.0,36887991,9217,697533,94,36009893.0,180565.0,
38,Brasil,,,76,,,,2023-02-08,6,210147125.0,36907890,19899,697583,50,36029839.0,180468.0,
39,Brasil,,,76,,,,2023-02-09,6,210147125.0,36917623,9733,697620,37,36032982.0,187021.0,
40,Brasil,,,76,,,,2023-02-10,6,210147125.0,36930339,12716,697662,42,36037560.0,195117.0,
41,Brasil,,,76,,,,2023-02-11,6,210147125.0,36932532,2193,697674,12,36042782.0,192076.0,
42,Brasil,,,76,,,,2023-02-12,7,210147125.0,36932830,298,697674,0,36054786.0,180370.0,
43,Brasil,,,76,,,,2023-02-13,7,210147125.0,36953492,20662,697762,88,36083958.0,171772.0,
44,Brasil,,,76,,,,2023-02-14,7,210147125.0,36949318,-4174,697848,86,36087362.0,164108.0,
45,Brasil,,,76,,,,2023-02-15,7,210147125.0,36960888,11570,697894,46,36097919.0,165075.0,
46,Brasil,,,76,,,,2023-02-16,7,210147125.0,36970513,9625,698014,120,36106527.0,165972.0,
47,Brasil,,,76,,,,2023-02-17,7,210147125.0,36987682,17169,698047,33,36116408.0,173227.0,
48,Brasil,,,76,,,,2023-02-18,7,210147125.0,36989373,1691,698056,9,36118809.0,172508.0,
49,Brasil,,,76,,,,2023-02-19,8,210147125.0,36989857,484,698056,0,36127275.0,164526.0,
50,Brasil,,,76,,,,2023-02-20,8,210147125.0,36990274,417,698058,2,36143411.0,148805.0,
51,Brasil,,,76,,,,2023-02-21,8,210147125.0,36992154,1880,698069,11,36158293.0,135792.0,
52,Brasil,,,76,,,,2023-02-22,8,210147125.0,36997328,5174,698381,312,36170812.0,128135.0,
53,Brasil,,,76,,,,2023-02-23,8,210147125.0,37008944,11616,698834,453,36179646.0,130464.0,
54,Brasil,,,76,,,,2023-02-24,8,210147125.0,37020531,11587,698928,94,36185975.0,135628.0,
55,Brasil,,,76,,,,2023-02-25,8,210147125.0,37023465,2934,698946,18,36186902.0,137617.0,
56,Brasil,,,76,,,,2023-02-26,9,210147125.0,37024417,952,698947,1,36195640.0,129830.0,
57,Brasil,,,76,,,,2023-02-27,9,210147125.0,37038230,13813,699006,59,36216411.0,122813.0,
58,Brasil,,,76,,,,2023-02-28,9,210147125.0,37052936,14706,699087,81,36235329.0,118520.0,
59,Brasil,,,76,,,,2023-03-01,9,210147125.0,37063464,10528,699197,110,36241001.0,123266.0,
60,Brasil,,,76,,,,2023-03-02,9,210147125.0,37066791,3327,699243,46,36239891.0,127657.0,
61,Brasil,,,76,,,,2023-03-03,9,210147125.0,37076053,9262,699276,33,36249161.0,127616.0,
62,Brasil,,,76,,,,2023-03-04,9,210147125.0,37085520,9467,699310,34,36256816.0,129394.0,
63,Brasil,,,76,,,,2023-03-05,10,210147125.0,37085520,0,699310,0,36259876.0,126334.0,
64,Brasil,,,76,,,,2023-03-06,10,210147125.0,37085520,0,699310,0,36262322.0,123888.0,
65,Brasil,,,76,,,,2023-03-07,10,210147125.0,37085520,0,699310,0,36275041.0,111169.0,
66,Brasil,,,76,,,,2023-03-08,10,210147125.0,37085520,0,699310,0,36284485.0,101725.0,
67,Brasil,,,76,,,,2023-03-09,10,210147125.0,37085520,0,699310,0,36290917.0,95293.0,
68,Brasil,,,76,,,,2023-03-10,10,210147125.0,37085520,0,699310,0,36291779.0,94431.0,
69,Brasil,,,76,,,,2023-03-11,10,210147125.0,37145514,59994,699634,324,36332480.0,113400.0,
70,Brasil,,,76,,,,2023-03-12,11,210147125.0,37145514,0,699634,0,36314975.0,130905.0,
71,Brasil,,,76,,,,2023-03-13,11,210147125.0,37145514,0,699634,0,36301046.0,144834.0,
72,Brasil,,,76,,,,2023-03-14,11,210147125.0,37145514,0,699634,0,36310217.0,135663.0,
73,Brasil,,,76,,,,2023-03-15,11,210147125.0,37145514,0,699634,0,36318743.0,127137.0,
74,Brasil,,,76,,,,2023-03-16,11,210147125.0,37145514,0,699634,0,36323863.0,122017.0,
75,Brasil,,,76,,,,2023-03-17,11,210147125.0,37145514,0,699634,0,36329733.0,116147.0,
76,Brasil,,,76,,,,2023-03-18,11,210147125.0,37204677,59163,699917,283,36378767.0,125993.0,
77,Brasil,,,76,,,,2023-03-19,12,210147125.0,37204677,0,699917,0,36372074.0,132686.0,
78,Brasil,,,76,,,,2023-03-20,12,210147125.0,37204677,0,699917,0,36361886.0,142874.0,
79,Brasil,,,76,,,,2023-03-21,12,210147125.0,37204677,0,699917,0,36369528.0,135232.0,
80,Brasil,,,76,,,,2023-03-22,12,210147125.0,37204677,0,699917,0,36376845.0,127915.0,
81,Brasil,,,76,,,,2023-03-23,12,210147125.0,37204677,0,699917,0,36383066.0,121694.0,
82,Brasil,,,76,,,,2023-03-24,12,210147125.0,37204677,0,699917,0,36386210.0,118550.0,
83,Brasil,,,76,,,,2023-03-25,12,210147125.0,37258663,53986,700239,322,36421988.0,136436.0,
84,Brasil,,,76,,,,2023-03-26,13,210147125.0,37258663,0,700239,0,36404096.0,154328.0,
85,Brasil,,,76,,,,2023-03-27,13,210147125.0,37258663,0,700239,0,36386210.0,172214.0,
86,Brasil,,,76,,,,2023-03-28,13,210147125.0,37258663,0,700239,0,36386210.0,172214.0,
87,Brasil,,,76,,,,2023-03-29,13,210147125.0,37258663,0,700239,0,36406100.0,152324.0,
88,Brasil,,,76,,,,2023-03-30,13,210147125.0,37258663,0,700239,0,36425990.0,132434.0,
89,Brasil,,,76,,,,2023-03-31,13,210147125.0,37258663,0,700239,0,36445880.0,112544.0,
90,Brasil,,,76,,,,2023-04-01,13,210147125.0,37319254,60591,700556,317,36486063.0,132635.0,
